dotnet,roslyn,13636,gafter,2.0 (Preview 5),15,In a syntactic position where an lvalue is expected  we reserve `var (...)`,True,4 - In Review#Area-Compilers#cla-already-signed#New Language Feature - Out Variable Declaration#New Language Feature - Tuples
dotnet,roslyn,13633,jcouv,2.0 (Preview 5),15,Adding tests for deconstruction,True,Area-Compilers#cla-already-signed#New Language Feature - Tuples
dotnet,roslyn,13632,jcouv,2.0 (Preview 5),15,Optimization: Don't use any temps for most straightforward deconstruction,True,Area-Compilers#New Language Feature - Tuples
dotnet,roslyn,13556,jasonmalinowski,2.0 (Preview 5),15,Options fail to deserialize,True,Area-IDE#Bug
dotnet,roslyn,13543,gafter,2.0 (Preview 5),15,Add C# feature "Expression body syntax for property accessors",True,4 - In Review#Area-Compilers#cla-already-signed#Feature Request
dotnet,roslyn,13535,agocke,2.0 (Preview 5),15,Enable declaration patterns in the EE,True,Area-Compilers#Area-Interactive#Bug#cla-already-signed#Interactive-Debugging
dotnet,roslyn,13528,AlekseyTs,2.0 (Preview 5),15,Adjust wording for ERR_ExpressionVariableInConstructorOrFieldInitializer error,True,4 - In Review#Area-Compilers#Bug#Language-C##New Language Feature - Out Variable Declaration#New Language Feature - Pattern Matching
dotnet,roslyn,13527,jcouv,2.0 (Preview 5),15,Typing ':' (colon) after open-paren should not commit completion,True,3 - Working#Area-Compilers#New Language Feature - Tuples
dotnet,roslyn,13506,jasonmalinowski,2.0 (Preview 5),15,Microsoft.CodeAnalysis.UnitTests.SolutionTests.TestRecoverableSyntaxTreeCSharp seems flaky,True,Area-IDE#Flaky
dotnet,roslyn,13502,jcouv,2.0 (Preview 5),15,Update tuple element indices and TupleElementFields API,True,Area-Compilers#New Language Feature - Tuples
dotnet,roslyn,13496,CyrusNajmabadi,2.0 (Preview 5),15,"Suggestion" severity UI is too hard to see,True,Area-IDE#Bug
dotnet,roslyn,13476,jmarolf,2.0 (Preview 5),15,Integration test AddMissingReference.xml requires FX 4.0 Targeting pack,True,Area-IDE#Area-Infrastructure#Test
